Fecha;Medida;Territorio;Valor;
13/02/2021;Curados;Granada;47696;
13/02/2021;Curados;Huelva;13028;
13/02/2021;Curados;Jaén;28794;
13/02/2021;Curados;Málaga;47463;
13/02/2021;Curados;Sevilla;63696;
12/02/2021;Confirmados PDIA;Andalucía;452628;
12/02/2021;Confirmados PDIA;Almería;42021;
12/02/2021;Confirmados PDIA;Cádiz;66031;
12/02/2021;Confirmados PDIA;Córdoba;41563;
12/02/2021;Confirmados PDIA;Granada;66003;
12/02/2021;Confirmados PDIA;Huelva;23784;
12/02/2021;Confirmados PDIA;Jaén;38963;
12/02/2021;Confirmados PDIA;Málaga;79034;
12/02/2021;Confirmados PDIA;Sevilla;95229;
12/02/2021;Aumento;Andalucía;3097;
12/02/2021;Aumento;Almería;400;
12/02/2021;Aumento;Cádiz;641;
12/02/2021;Aumento;Córdoba;138;
12/02/2021;Aumento;Granada;286;
12/02/2021;Aumento;Huelva;106;
12/02/2021;Aumento;Jaén;208;
12/02/2021;Aumento;Málaga;642;
12/02/2021;Aumento;Sevilla;676;
12/02/2021;Confirmados PDIA 14 días;Andalucía;49409;
12/02/2021;Confirmados PDIA 14 días;Almería;5858;
12/02/2021;Confirmados PDIA 14 días;Cádiz;9370;
12/02/2021;Confirmados PDIA 14 días;Córdoba;3471;
12/02/2021;Confirmados PDIA 14 días;Granada;4647;
12/02/2021;Confirmados PDIA 14 días;Huelva;3000;
12/02/2021;Confirmados PDIA 14 días;Jaén;2899;
12/02/2021;Confirmados PDIA 14 días;Málaga;10123;
12/02/2021;Confirmados PDIA 14 días;Sevilla;10041;
12/02/2021;Confirmados PDIA 7 días;Andalucía;16815;
12/02/2021;Confirmados PDIA 7 días;Almería;1986;
12/02/2021;Confirmados PDIA 7 días;Cádiz;3403;
12/02/2021;Confirmados PDIA 7 días;Córdoba;1055;
12/02/2021;Confirmados PDIA 7 días;Granada;1469;
12/02/2021;Confirmados PDIA 7 días;Huelva;889;
12/02/2021;Confirmados PDIA 7 días;Jaén;1028;
12/02/2021;Confirmados PDIA 7 días;Málaga;3292;
12/02/2021;Confirmados PDIA 7 días;Sevilla;3693;
12/02/2021;Total confirmados ;Andalucía;458279;
12/02/2021;Total confirmados ;Almería;42339;
12/02/2021;Total confirmados ;Cádiz;66413;
12/02/2021;Total confirmados ;Córdoba;42026;
12/02/2021;Total confirmados ;Granada;66837;
12/02/2021;Total confirmados ;Huelva;24016;
12/02/2021;Total confirmados ;Jaén;39560;
12/02/2021;Total confirmados ;Málaga;80952;
12/02/2021;Total confirmados ;Sevilla;96136;
12/02/2021;Hospitalizados;Andalucía;33770;
12/02/2021;Hospitalizados;Almería;2566;
12/02/2021;Hospitalizados;Cádiz;3279;
12/02/2021;Hospitalizados;Córdoba;3477;
12/02/2021;Hospitalizados;Granada;5397;
12/02/2021;Hospitalizados;Huelva;1516;
12/02/2021;Hospitalizados;Jaén;3587;
12/02/2021;Hospitalizados;Málaga;6455;
12/02/2021;Hospitalizados;Sevilla;7493;
12/02/2021;Total UCI;Andalucía;3339;
12/02/2021;Total UCI;Almería;360;
12/02/2021;Total UCI;Cádiz;393;
12/02/2021;Total UCI;Córdoba;399;
12/02/2021;Total UCI;Granada;574;
12/02/2021;Total UCI;Huelva;86;
12/02/2021;Total UCI;Jaén;312;
12/02/2021;Total UCI;Málaga;526;
12/02/2021;Total UCI;Sevilla;689;
12/02/2021;Fallecidos;Andalucía;7459;
12/02/2021;Fallecidos;Almería;551;
12/02/2021;Fallecidos;Cádiz;1059;
12/02/2021;Fallecidos;Córdoba;773;
12/02/2021;Fallecidos;Granada;1336;
12/02/2021;Fallecidos;Huelva;238;
12/02/2021;Fallecidos;Jaén;807;
12/02/2021;Fallecidos;Málaga;1215;
12/02/2021;Fallecidos;Sevilla;1480;
12/02/2021;Curados;Andalucía;289325;
12/02/2021;Curados;Almería;27356;
12/02/2021;Curados;Cádiz;35380;
12/02/2021;Curados;Córdoba;27459;
12/02/2021;Curados;Granada;47625;
12/02/2021;Curados;Huelva;12853;
12/02/2021;Curados;Jaén;28565;
12/02/2021;Curados;Málaga;46728;
12/02/2021;Curados;Sevilla;63359;
11/02/2021;Confirmados PDIA;Andalucía;449531;
11/02/2021;Confirmados PDIA;Almería;41621;
11/02/2021;Confirmados PDIA;Cádiz;65390;
11/02/2021;Confirmados PDIA;Córdoba;41425;
11/02/2021;Confirmados PDIA;Granada;65717;
11/02/2021;Confirmados PDIA;Huelva;23678;
11/02/2021;Confirmados PDIA;Jaén;38755;
11/02/2021;Confirmados PDIA;Málaga;78392;
11/02/2021;Confirmados PDIA;Sevilla;94553;
11/02/2021;Aumento;Andalucía;3506;
11/02/2021;Aumento;Almería;379;
11/02/2021;Aumento;Cádiz;743;
11/02/2021;Aumento;Córdoba;206;
11/02/2021;Aumento;Granada;346;
11/02/2021;Aumento;Huelva;176;
11/02/2021;Aumento;Jaén;174;
11/02/2021;Aumento;Málaga;619;
11/02/2021;Aumento;Sevilla;863;
11/02/2021;Confirmados PDIA 14 días;Andalucía;53433;
11/02/2021;Confirmados PDIA 14 días;Almería;6098;
11/02/2021;Confirmados PDIA 14 días;Cádiz;9870;
11/02/2021;Confirmados PDIA 14 días;Córdoba;3875;
11/02/2021;Confirmados PDIA 14 días;Granada;5107;
11/02/2021;Confirmados PDIA 14 días;Huelva;3347;
11/02/2021;Confirmados PDIA 14 días;Jaén;3234;
11/02/2021;Confirmados PDIA 14 días;Málaga;10932;
11/02/2021;Confirmados PDIA 14 días;Sevilla;10970;
11/02/2021;Confirmados PDIA 7 días;Andalucía;18704;
11/02/2021;Confirmados PDIA 7 días;Almería;2155;
11/02/2021;Confirmados PDIA 7 días;Cádiz;3773;
11/02/2021;Confirmados PDIA 7 días;Córdoba;1214;
11/02/2021;Confirmados PDIA 7 días;Granada;1610;
11/02/2021;Confirmados PDIA 7 días;Huelva;1078;
11/02/2021;Confirmados PDIA 7 días;Jaén;1069;
11/02/2021;Confirmados PDIA 7 días;Málaga;3885;
11/02/2021;Confirmados PDIA 7 días;Sevilla;3920;
11/02/2021;Total confirmados ;Andalucía;455181;
11/02/2021;Total confirmados ;Almería;41939;
11/02/2021;Total confirmados ;Cádiz;65772;
11/02/2021;Total confirmados ;Córdoba;41888;
11/02/2021;Total confirmados ;Granada;66551;
11/02/2021;Total confirmados ;Huelva;23909;
11/02/2021;Total confirmados ;Jaén;39352;
11/02/2021;Total confirmados ;Málaga;80309;
11/02/2021;Total confirmados ;Sevilla;95461;
11/02/2021;Hospitalizados;Andalucía;33480;
11/02/2021;Hospitalizados;Almería;2538;
11/02/2021;Hospitalizados;Cádiz;3248;
11/02/2021;Hospitalizados;Córdoba;3461;
11/02/2021;Hospitalizados;Granada;5361;
11/02/2021;Hospitalizados;Huelva;1494;
11/02/2021;Hospitalizados;Jaén;3568;
11/02/2021;Hospitalizados;Málaga;6376;
11/02/2021;Hospitalizados;Sevilla;7434;
11/02/2021;Total UCI;Andalucía;3307;
11/02/2021;Total UCI;Almería;353;
11/02/2021;Total UCI;Cádiz;392;
11/02/2021;Total UCI;Córdoba;398;
11/02/2021;Total UCI;Granada;572;
11/02/2021;Total UCI;Huelva;86;
11/02/2021;Total UCI;Jaén;304;
11/02/2021;Total UCI;Málaga;520;
11/02/2021;Total UCI;Sevilla;682;
11/02/2021;Fallecidos;Andalucía;7332;
11/02/2021;Fallecidos;Almería;543;
11/02/2021;Fallecidos;Cádiz;1041;
11/02/2021;Fallecidos;Córdoba;762;
11/02/2021;Fallecidos;Granada;1315;
11/02/2021;Fallecidos;Huelva;234;
11/02/2021;Fallecidos;Jaén;799;
11/02/2021;Fallecidos;Málaga;1186;
11/02/2021;Fallecidos;Sevilla;1452;
11/02/2021;Curados;Andalucía;287014;
11/02/2021;Curados;Almería;27147;
11/02/2021;Curados;Cádiz;35188;
11/02/2021;Curados;Córdoba;27166;
11/02/2021;Curados;Granada;47561;
11/02/2021;Curados;Huelva;12588;
11/02/2021;Curados;Jaén;28258;
11/02/2021;Curados;Málaga;46251;
11/02/2021;Curados;Sevilla;62855;
10/02/2021;Confirmados PDIA;Andalucía;446025;
10/02/2021;Confirmados PDIA;Almería;41242;
10/02/2021;Confirmados PDIA;Cádiz;64647;
10/02/2021;Confirmados PDIA;Córdoba;41219;
10/02/2021;Confirmados PDIA;Granada;65371;
10/02/2021;Confirmados PDIA;Huelva;23502;
10/02/2021;Confirmados PDIA;Jaén;38581;
10/02/2021;Confirmados PDIA;Málaga;77773;
10/02/2021;Confirmados PDIA;Sevilla;93690;
10/02/2021;Aumento;Andalucía;2971;
10/02/2021;Aumento;Almería;242;
10/02/2021;Aumento;Cádiz;529;
10/02/2021;Aumento;Córdoba;158;
10/02/2021;Aumento;Granada;321;
10/02/2021;Aumento;Huelva;170;
10/02/2021;Aumento;Jaén;227;
10/02/2021;Aumento;Málaga;639;
10/02/2021;Aumento;Sevilla;685;
10/02/2021;Confirmados PDIA 14 días;Andalucía;57324;
10/02/2021;Confirmados PDIA 14 días;Almería;6452;
10/02/2021;Confirmados PDIA 14 días;Cádiz;10348;
10/02/2021;Confirmados PDIA 14 días;Córdoba;4215;
10/02/2021;Confirmados PDIA 14 días;Granada;5604;
10/02/2021;Confirmados PDIA 14 días;Huelva;3627;
10/02/2021;Confirmados PDIA 14 días;Jaén;3486;
10/02/2021;Confirmados PDIA 14 días;Málaga;11965;
10/02/2021;Confirmados PDIA 14 días;Sevilla;11627;
10/02/2021;Confirmados PDIA 7 días;Andalucía;20437;
10/02/2021;Confirmados PDIA 7 días;Almería;2297;
10/02/2021;Confirmados PDIA 7 días;Cádiz;4022;
10/02/2021;Confirmados PDIA 7 días;Córdoba;1385;
10/02/2021;Confirmados PDIA 7 días;Granada;1786;
10/02/2021;Confirmados PDIA 7 días;Huelva;1219;
10/02/2021;Confirmados PDIA 7 días;Jaén;1237;
10/02/2021;Confirmados PDIA 7 días;Málaga;4293;
10/02/2021;Confirmados PDIA 7 días;Sevilla;4198;
10/02/2021;Total confirmados ;Andalucía;451676;
10/02/2021;Total confirmados ;Almería;41560;
10/02/2021;Total confirmados ;Cádiz;65026;
10/02/2021;Total confirmados ;Córdoba;41682;
10/02/2021;Total confirmados ;Granada;66205;
10/02/2021;Total confirmados ;Huelva;23733;
10/02/2021;Total confirmados ;Jaén;39181;
10/02/2021;Total confirmados ;Málaga;79692;
10/02/2021;Total confirmados ;Sevilla;94597;
10/02/2021;Hospitalizados;Andalucía;33203;
10/02/2021;Hospitalizados;Almería;2504;
10/02/2021;Hospitalizados;Cádiz;3219;
10/02/2021;Hospitalizados;Córdoba;3409;
10/02/2021;Hospitalizados;Granada;5329;
10/02/2021;Hospitalizados;Huelva;1468;
10/02/2021;Hospitalizados;Jaén;3551;
10/02/2021;Hospitalizados;Málaga;6332;
10/02/2021;Hospitalizados;Sevilla;7391;
10/02/2021;Total UCI;Andalucía;3261;
10/02/2021;Total UCI;Almería;349;
10/02/2021;Total UCI;Cádiz;385;
10/02/2021;Total UCI;Córdoba;394;
10/02/2021;Total UCI;Granada;572;
10/02/2021;Total UCI;Huelva;70;
10/02/2021;Total UCI;Jaén;298;
10/02/2021;Total UCI;Málaga;516;
10/02/2021;Total UCI;Sevilla;677;
10/02/2021;Fallecidos;Andalucía;7228;
10/02/2021;Fallecidos;Almería;538;
10/02/2021;Fallecidos;Cádiz;1021;
10/02/2021;Fallecidos;Córdoba;751;
10/02/2021;Fallecidos;Granada;1305;
10/02/2021;Fallecidos;Huelva;233;
10/02/2021;Fallecidos;Jaén;790;
10/02/2021;Fallecidos;Málaga;1161;
10/02/2021;Fallecidos;Sevilla;1429;
10/02/2021;Curados;Andalucía;284247;
10/02/2021;Curados;Almería;26505;
10/02/2021;Curados;Cádiz;34853;
10/02/2021;Curados;Córdoba;26855;
10/02/2021;Curados;Granada;47391;
10/02/2021;Curados;Huelva;12411;
10/02/2021;Curados;Jaén;28027;
10/02/2021;Curados;Málaga;45757;
10/02/2021;Curados;Sevilla;62448;
09/02/2021;Confirmados PDIA;Andalucía;443054;
09/02/2021;Confirmados PDIA;Almería;41000;
09/02/2021;Confirmados PDIA;Cádiz;64118;
09/02/2021;Confirmados PDIA;Córdoba;41061;
09/02/2021;Confirmados PDIA;Granada;65050;
09/02/2021;Confirmados PDIA;Huelva;23332;
09/02/2021;Confirmados PDIA;Jaén;38354;
09/02/2021;Confirmados PDIA;Málaga;77134;
09/02/2021;Confirmados PDIA;Sevilla;93005;
09/02/2021;Aumento;Andalucía;1997;
09/02/2021;Aumento;Almería;224;
09/02/2021;Aumento;Cádiz;454;
09/02/2021;Aumento;Córdoba;132;
09/02/2021;Aumento;Granada;87;
09/02/2021;Aumento;Huelva;60;
09/02/2021;Aumento;Jaén;68;
09/02/2021;Aumento;Málaga;468;
09/02/2021;Aumento;Sevilla;504;
09/02/2021;Confirmados PDIA 14 días;Andalucía;61521;
09/02/2021;Confirmados PDIA 14 días;Almería;6899;
09/02/2021;Confirmados PDIA 14 días;Cádiz;11033;
09/02/2021;Confirmados PDIA 14 días;Córdoba;4637;
09/02/2021;Confirmados PDIA 14 días;Granada;6185;
09/02/2021;Confirmados PDIA 14 días;Huelva;4014;
09/02/2021;Confirmados PDIA 14 días;Jaén;3625;
09/02/2021;Confirmados PDIA 14 días;Málaga;12793;
09/02/2021;Confirmados PDIA 14 días;Sevilla;12335;
09/02/2021;Confirmados PDIA 7 días;Andalucía;22567;
09/02/2021;Confirmados PDIA 7 días;Almería;2546;
09/02/2021;Confirmados PDIA 7 días;Cádiz;4381;
09/02/2021;Confirmados PDIA 7 días;Córdoba;1521;
09/02/2021;Confirmados PDIA 7 días;Granada;2035;
09/02/2021;Confirmados PDIA 7 días;Huelva;1419;
09/02/2021;Confirmados PDIA 7 días;Jaén;1343;
09/02/2021;Confirmados PDIA 7 días;Málaga;4708;
09/02/2021;Confirmados PDIA 7 días;Sevilla;4614;
09/02/2021;Total confirmados ;Andalucía;448700;
09/02/2021;Total confirmados ;Almería;41318;
09/02/2021;Total confirmados ;Cádiz;64495;
09/02/2021;Total confirmados ;Córdoba;41524;
09/02/2021;Total confirmados ;Granada;65884;
09/02/2021;Total confirmados ;Huelva;23562;
09/02/2021;Total confirmados ;Jaén;38954;
09/02/2021;Total confirmados ;Málaga;79053;
09/02/2021;Total confirmados ;Sevilla;93910;
09/02/2021;Hospitalizados;Andalucía;32837;
09/02/2021;Hospitalizados;Almería;2456;
09/02/2021;Hospitalizados;Cádiz;3198;
09/02/2021;Hospitalizados;Córdoba;3386;
09/02/2021;Hospitalizados;Granada;5292;
09/02/2021;Hospitalizados;Huelva;1387;
09/02/2021;Hospitalizados;Jaén;3518;
09/02/2021;Hospitalizados;Málaga;6260;
09/02/2021;Hospitalizados;Sevilla;7340;
09/02/2021;Total UCI;Andalucía;3219;
09/02/2021;Total UCI;Almería;344;
09/02/2021;Total UCI;Cádiz;385;
09/02/2021;Total UCI;Córdoba;389;
09/02/2021;Total UCI;Granada;571;
09/02/2021;Total UCI;Huelva;60;
09/02/2021;Total UCI;Jaén;296;
09/02/2021;Total UCI;Málaga;499;
09/02/2021;Total UCI;Sevilla;675;
09/02/2021;Fallecidos;Andalucía;7114;
09/02/2021;Fallecidos;Almería;529;
09/02/2021;Fallecidos;Cádiz;1000;
09/02/2021;Fallecidos;Córdoba;735;
09/02/2021;Fallecidos;Granada;1298;
09/02/2021;Fallecidos;Huelva;219;
09/02/2021;Fallecidos;Jaén;783;
09/02/2021;Fallecidos;Málaga;1138;
09/02/2021;Fallecidos;Sevilla;1412;
09/02/2021;Curados;Andalucía;280844;
09/02/2021;Curados;Almería;25780;
09/02/2021;Curados;Cádiz;34395;
09/02/2021;Curados;Córdoba;26642;
09/02/2021;Curados;Granada;47051;
09/02/2021;Curados;Huelva;12325;
09/02/2021;Curados;Jaén;27858;
09/02/2021;Curados;Málaga;45112;
09/02/2021;Curados;Sevilla;61681;
08/02/2021;Confirmados PDIA;Andalucía;441057;
08/02/2021;Confirmados PDIA;Almería;40776;
08/02/2021;Confirmados PDIA;Cádiz;63664;
08/02/2021;Confirmados PDIA;Córdoba;40929;
08/02/2021;Confirmados PDIA;Granada;64963;
08/02/2021;Confirmados PDIA;Huelva;23272;
08/02/2021;Confirmados PDIA;Jaén;38286;
08/02/2021;Confirmados PDIA;Málaga;76666;
08/02/2021;Confirmados PDIA;Sevilla;92501;
08/02/2021;Aumento;Andalucía;2918;
08/02/2021;Aumento;Almería;384;
08/02/2021;Aumento;Cádiz;1078;
08/02/2021;Aumento;Córdoba;126;
08/02/2021;Aumento;Granada;105;
08/02/2021;Aumento;Huelva;105;
08/02/2021;Aumento;Jaén;102;
08/02/2021;Aumento;Málaga;567;
08/02/2021;Aumento;Sevilla;451;
08/02/2021;Confirmados PDIA 14 días;Andalucía;65690;
08/02/2021;Confirmados PDIA 14 días;Almería;7288;
08/02/2021;Confirmados PDIA 14 días;Cádiz;11602;
08/02/2021;Confirmados PDIA 14 días;Córdoba;5013;
08/02/2021;Confirmados PDIA 14 días;Granada;6857;
08/02/2021;Confirmados PDIA 14 días;Huelva;4376;
08/02/2021;Confirmados PDIA 14 días;Jaén;3911;
08/02/2021;Confirmados PDIA 14 días;Málaga;13637;
08/02/2021;Confirmados PDIA 14 días;Sevilla;13006;
08/02/2021;Confirmados PDIA 7 días;Andalucía;25247;
08/02/2021;Confirmados PDIA 7 días;Almería;2923;
08/02/2021;Confirmados PDIA 7 días;Cádiz;4697;
08/02/2021;Confirmados PDIA 7 días;Córdoba;1745;
08/02/2021;Confirmados PDIA 7 días;Granada;2518;
08/02/2021;Confirmados PDIA 7 días;Huelva;1564;
08/02/2021;Confirmados PDIA 7 días;Jaén;1526;
08/02/2021;Confirmados PDIA 7 días;Málaga;5333;
08/02/2021;Confirmados PDIA 7 días;Sevilla;4941;
08/02/2021;Total confirmados ;Andalucía;446700;
08/02/2021;Total confirmados ;Almería;41094;
08/02/2021;Total confirmados ;Cádiz;64042;
08/02/2021;Total confirmados ;Córdoba;41391;
08/02/2021;Total confirmados ;Granada;65797;
08/02/2021;Total confirmados ;Huelva;23502;
08/02/2021;Total confirmados ;Jaén;38886;
08/02/2021;Total confirmados ;Málaga;78582;
08/02/2021;Total confirmados ;Sevilla;93406;
08/02/2021;Hospitalizados;Andalucía;32057;
08/02/2021;Hospitalizados;Almería;2399;
08/02/2021;Hospitalizados;Cádiz;3173;
08/02/2021;Hospitalizados;Córdoba;3353;
08/02/2021;Hospitalizados;Granada;5238;
08/02/2021;Hospitalizados;Huelva;1357;
08/02/2021;Hospitalizados;Jaén;3492;
08/02/2021;Hospitalizados;Málaga;6186;
08/02/2021;Hospitalizados;Sevilla;6859;
08/02/2021;Total UCI;Andalucía;3164;
08/02/2021;Total UCI;Almería;340;
08/02/2021;Total UCI;Cádiz;385;
08/02/2021;Total UCI;Córdoba;382;
08/02/2021;Total UCI;Granada;570;
08/02/2021;Total UCI;Huelva;60;
08/02/2021;Total UCI;Jaén;295;
08/02/2021;Total UCI;Málaga;462;
08/02/2021;Total UCI;Sevilla;670;
08/02/2021;Fallecidos;Andalucía;6988;
08/02/2021;Fallecidos;Almería;507;
08/02/2021;Fallecidos;Cádiz;986;
08/02/2021;Fallecidos;Córdoba;729;
08/02/2021;Fallecidos;Granada;1290;
08/02/2021;Fallecidos;Huelva;208;
08/02/2021;Fallecidos;Jaén;764;
08/02/2021;Fallecidos;Málaga;1110;
08/02/2021;Fallecidos;Sevilla;1394;
08/02/2021;Curados;Andalucía;276967;
08/02/2021;Curados;Almería;24889;
08/02/2021;Curados;Cádiz;33973;
08/02/2021;Curados;Córdoba;26420;
08/02/2021;Curados;Granada;46765;
08/02/2021;Curados;Huelva;12136;
08/02/2021;Curados;Jaén;27468;
08/02/2021;Curados;Málaga;44253;
08/02/2021;Curados;Sevilla;61063;
07/02/2021;Confirmados PDIA;Andalucía;438155;
07/02/2021;Confirmados PDIA;Almería;40392;
07/02/2021;Confirmados PDIA;Cádiz;62587;
07/02/2021;Confirmados PDIA;Córdoba;40803;
07/02/2021;Confirmados PDIA;Granada;64858;
07/02/2021;Confirmados PDIA;Huelva;23169;
07/02/2021;Confirmados PDIA;Jaén;38185;
07/02/2021;Confirmados PDIA;Málaga;76111;
07/02/2021;Confirmados PDIA;Sevilla;92050;
07/02/2021;Aumento;Andalucía;3685;
07/02/2021;Aumento;Almería;435;
07/02/2021;Aumento;Cádiz;729;
07/02/2021;Aumento;Córdoba;269;
07/02/2021;Aumento;Granada;378;
07/02/2021;Aumento;Huelva;174;
07/02/2021;Aumento;Jaén;201;
07/02/2021;Aumento;Málaga;833;
07/02/2021;Aumento;Sevilla;666;
07/02/2021;Confirmados PDIA 14 días;Andalucía;66455;
07/02/2021;Confirmados PDIA 14 días;Almería;7353;
07/02/2021;Confirmados PDIA 14 días;Cádiz;11525;
07/02/2021;Confirmados PDIA 14 días;Córdoba;5250;
07/02/2021;Confirmados PDIA 14 días;Granada;6994;
07/02/2021;Confirmados PDIA 14 días;Huelva;4446;
07/02/2021;Confirmados PDIA 14 días;Jaén;3995;
07/02/2021;Confirmados PDIA 14 días;Málaga;13849;
07/02/2021;Confirmados PDIA 14 días;Sevilla;13043;
07/02/2021;Confirmados PDIA 7 días;Andalucía;25150;
07/02/2021;Confirmados PDIA 7 días;Almería;3063;
07/02/2021;Confirmados PDIA 7 días;Cádiz;4173;
07/02/2021;Confirmados PDIA 7 días;Córdoba;1908;
07/02/2021;Confirmados PDIA 7 días;Granada;2531;
07/02/2021;Confirmados PDIA 7 días;Huelva;1587;
07/02/2021;Confirmados PDIA 7 días;Jaén;1557;
07/02/2021;Confirmados PDIA 7 días;Málaga;5458;
07/02/2021;Confirmados PDIA 7 días;Sevilla;4873;
07/02/2021;Total confirmados ;Andalucía;443795;
07/02/2021;Total confirmados ;Almería;40710;
07/02/2021;Total confirmados ;Cádiz;62965;
07/02/2021;Total confirmados ;Córdoba;41265;
07/02/2021;Total confirmados ;Granada;65692;
07/02/2021;Total confirmados ;Huelva;23399;
07/02/2021;Total confirmados ;Jaén;38785;
07/02/2021;Total confirmados ;Málaga;78026;
07/02/2021;Total confirmados ;Sevilla;92953;
07/02/2021;Hospitalizados;Andalucía;31930;
07/02/2021;Hospitalizados;Almería;2377;
07/02/2021;Hospitalizados;Cádiz;3138;
07/02/2021;Hospitalizados;Córdoba;3342;
07/02/2021;Hospitalizados;Granada;5234;
07/02/2021;Hospitalizados;Huelva;1353;
07/02/2021;Hospitalizados;Jaén;3487;
07/02/2021;Hospitalizados;Málaga;6154;
07/02/2021;Hospitalizados;Sevilla;6845;
07/02/2021;Total UCI;Andalucía;3158;
07/02/2021;Total UCI;Almería;339;
07/02/2021;Total UCI;Cádiz;385;
07/02/2021;Total UCI;Córdoba;381;
07/02/2021;Total UCI;Granada;568;
07/02/2021;Total UCI;Huelva;60;
07/02/2021;Total UCI;Jaén;295;
07/02/2021;Total UCI;Málaga;461;
07/02/2021;Total UCI;Sevilla;669;
07/02/2021;Fallecidos;Andalucía;6935;
07/02/2021;Fallecidos;Almería;503;
07/02/2021;Fallecidos;Cádiz;951;
07/02/2021;Fallecidos;Córdoba;724;
07/02/2021;Fallecidos;Granada;1290;
07/02/2021;Fallecidos;Huelva;208;
07/02/2021;Fallecidos;Jaén;763;
07/02/2021;Fallecidos;Málaga;1109;
07/02/2021;Fallecidos;Sevilla;1387;
07/02/2021;Curados;Andalucía;274889;
07/02/2021;Curados;Almería;24615;
07/02/2021;Curados;Cádiz;33509;
07/02/2021;Curados;Córdoba;26244;
07/02/2021;Curados;Granada;46554;
07/02/2021;Curados;Huelva;12085;
07/02/2021;Curados;Jaén;27331;
07/02/2021;Curados;Málaga;43767;
07/02/2021;Curados;Sevilla;60784;
06/02/2021;Confirmados PDIA;Andalucía;434470;
06/02/2021;Confirmados PDIA;Almería;39957;
06/02/2021;Confirmados PDIA;Cádiz;61858;
06/02/2021;Confirmados PDIA;Córdoba;40534;
06/02/2021;Confirmados PDIA;Granada;64480;
06/02/2021;Confirmados PDIA;Huelva;22995;
06/02/2021;Confirmados PDIA;Jaén;37984;
06/02/2021;Confirmados PDIA;Málaga;75278;
06/02/2021;Confirmados PDIA;Sevilla;91384;
06/02/2021;Aumento;Andalucía;4886;
06/02/2021;Aumento;Almería;601;
06/02/2021;Aumento;Cádiz;884;
06/02/2021;Aumento;Córdoba;276;
06/02/2021;Aumento;Granada;454;
06/02/2021;Aumento;Huelva;294;
06/02/2021;Aumento;Jaén;258;
06/02/2021;Aumento;Málaga;1134;
06/02/2021;Aumento;Sevilla;985;
06/02/2021;Confirmados PDIA 14 días;Andalucía;68021;
06/02/2021;Confirmados PDIA 14 días;Almería;7464;
06/02/2021;Confirmados PDIA 14 días;Cádiz;11753;
06/02/2021;Confirmados PDIA 14 días;Córdoba;5410;
06/02/2021;Confirmados PDIA 14 días;Granada;6948;
06/02/2021;Confirmados PDIA 14 días;Huelva;4680;
06/02/2021;Confirmados PDIA 14 días;Jaén;4089;
06/02/2021;Confirmados PDIA 14 días;Málaga;14214;
06/02/2021;Confirmados PDIA 14 días;Sevilla;13463;
06/02/2021;Confirmados PDIA 7 días;Andalucía;25853;
06/02/2021;Confirmados PDIA 7 días;Almería;3166;
06/02/2021;Confirmados PDIA 7 días;Cádiz;4419;
06/02/2021;Confirmados PDIA 7 días;Córdoba;2017;
06/02/2021;Confirmados PDIA 7 días;Granada;2399;
06/02/2021;Confirmados PDIA 7 días;Huelva;1696;
06/02/2021;Confirmados PDIA 7 días;Jaén;1585;
06/02/2021;Confirmados PDIA 7 días;Málaga;5467;
06/02/2021;Confirmados PDIA 7 días;Sevilla;5104;
06/02/2021;Total confirmados ;Andalucía;440102;
06/02/2021;Total confirmados ;Almería;40275;
06/02/2021;Total confirmados ;Cádiz;62236;
06/02/2021;Total confirmados ;Córdoba;40996;
06/02/2021;Total confirmados ;Granada;65314;
06/02/2021;Total confirmados ;Huelva;23226;
06/02/2021;Total confirmados ;Jaén;38583;
06/02/2021;Total confirmados ;Málaga;77189;
06/02/2021;Total confirmados ;Sevilla;92283;
06/02/2021;Hospitalizados;Andalucía;31767;
06/02/2021;Hospitalizados;Almería;2372;
06/02/2021;Hospitalizados;Cádiz;3122;
06/02/2021;Hospitalizados;Córdoba;3322;
06/02/2021;Hospitalizados;Granada;5211;
06/02/2021;Hospitalizados;Huelva;1347;
06/02/2021;Hospitalizados;Jaén;3469;
06/02/2021;Hospitalizados;Málaga;6102;
06/02/2021;Hospitalizados;Sevilla;6822;
06/02/2021;Total UCI;Andalucía;3146;
06/02/2021;Total UCI;Almería;339;
06/02/2021;Total UCI;Cádiz;385;
06/02/2021;Total UCI;Córdoba;376;
06/02/2021;Total UCI;Granada;566;
06/02/2021;Total UCI;Huelva;60;
06/02/2021;Total UCI;Jaén;294;
06/02/2021;Total UCI;Málaga;458;
06/02/2021;Total UCI;Sevilla;668;
06/02/2021;Fallecidos;Andalucía;6907;
06/02/2021;Fallecidos;Almería;497;
06/02/2021;Fallecidos;Cádiz;942;
06/02/2021;Fallecidos;Córdoba;722;
06/02/2021;Fallecidos;Granada;1287;
06/02/2021;Fallecidos;Huelva;207;
06/02/2021;Fallecidos;Jaén;761;
06/02/2021;Fallecidos;Málaga;1105;
06/02/2021;Fallecidos;Sevilla;1386;
06/02/2021;Curados;Andalucía;272731;
06/02/2021;Curados;Almería;24463;
06/02/2021;Curados;Cádiz;33070;
06/02/2021;Curados;Córdoba;26014;
06/02/2021;Curados;Granada;46383;
06/02/2021;Curados;Huelva;11983;
06/02/2021;Curados;Jaén;27150;
06/02/2021;Curados;Málaga;43120;
06/02/2021;Curados;Sevilla;60548;
05/02/2021;Confirmados PDIA;Andalucía;429584;
